strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
random,24,none,0,0,videos/02_00_0.mp4,Does the person stir faster the first time compared to the second time?,yes,No,no,0,27 61 78 107 108 139 145 150 160 161 180 237 245 262 275 276 284 312 320 334 339 358 372 378,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,1,0,videos/02_00_1.mp4,Does the person stir faster the first time compared to the second time?,no,Yes,yes,0,1 5 7 24 56 83 96 116 119 158 178 199 202 204 205 219 239 241 249 251 254 275 354 363,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,2,0,videos/02_00_0.mp4,Does the person stir slower the first time compared to the second time?,no,Yes,yes,0,27 61 78 107 108 139 145 150 160 161 180 237 245 262 275 276 284 312 320 334 339 358 372 378,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,3,0,videos/02_00_1.mp4,Does the person stir slower the first time compared to the second time?,yes,No,no,0,1 5 7 24 56 83 96 116 119 158 178 199 202 204 205 219 239 241 249 251 254 275 354 363,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,4,1,videos/02_01_0.mp4,Does the drawer close faster the first time compared to the second time?,yes,No,no,0,9 10 16 21 25 31 37 47 50 84 85 99 110 116 133 143 148 149 165 166 167 171 183 187,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,5,1,videos/02_01_1.mp4,Does the drawer close faster the first time compared to the second time?,no,Yes,yes,0,7 14 17 20 36 37 38 44 47 54 60 84 86 95 100 107 110 111 124 138 141 153 165 181,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,6,1,videos/02_01_0.mp4,Does the drawer close slower the first time compared to the second time?,no,Yes,yes,0,9 10 16 21 25 31 37 47 50 84 85 99 110 116 133 143 148 149 165 166 167 171 183 187,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,7,1,videos/02_01_1.mp4,Does the drawer close slower the first time compared to the second time?,yes,Yes,yes,1,7 14 17 20 36 37 38 44 47 54 60 84 86 95 100 107 110 111 124 138 141 153 165 181,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,8,2,videos/02_02_0.mp4,Does the person open their hand faster the first time compared to the second time?,yes,No,no,0,2 5 11 13 14 23 28 38 41 46 52 53 74 75 76 79 83 89 94 99 104 106 111 114,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,9,2,videos/02_02_1.mp4,Does the person open their hand faster the first time compared to the second time?,no,No,no,1,0 6 8 11 20 25 31 32 34 38 41 48 75 89 93 101 102 103 104 107 109 111 114 117,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,10,2,videos/02_02_0.mp4,Does the person open their hand slower the first time compared to the second time?,no,No,no,1,2 5 11 13 14 23 28 38 41 46 52 53 74 75 76 79 83 89 94 99 104 106 111 114,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,11,2,videos/02_02_1.mp4,Does the person open their hand slower the first time compared to the second time?,yes,No,no,0,0 6 8 11 20 25 31 32 34 38 41 48 75 89 93 101 102 103 104 107 109 111 114 117,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,12,3,videos/02_03_0.mp4,Does the person press the pillow faster the first time compared to the second time?,yes,No,no,0,0 7 12 26 31 32 35 42 43 46 47 65 66 77 82 107 112 114 115 126 129 130 138 141,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,13,3,videos/02_03_1.mp4,Does the person press the pillow faster the first time compared to the second time?,no,No,no,1,1 3 5 6 15 18 19 21 23 34 45 52 62 66 69 109 110 125 129 132 134 135 137 140,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,14,3,videos/02_03_0.mp4,Does the person press the pillow slower the first time compared to the second time?,no,Yes,yes,0,0 7 12 26 31 32 35 42 43 46 47 65 66 77 82 107 112 114 115 126 129 130 138 141,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,15,3,videos/02_03_1.mp4,Does the person press the pillow slower the first time compared to the second time?,yes,No,no,0,1 3 5 6 15 18 19 21 23 34 45 52 62 66 69 109 110 125 129 132 134 135 137 140,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,16,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",yes,Yes,yes,1,1 3 6 14 15 16 18 19 20 23 24 32 34 35 37 42 46 50 53 58 65 69 71 74,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,17,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",no,Yes,yes,0,4 6 11 12 13 27 30 31 32 36 45 47 48 56 57 58 59 66 68 69 77 78 79 81,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,18,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",no,Yes,yes,0,1 3 6 14 15 16 18 19 20 23 24 32 34 35 37 42 46 50 53 58 65 69 71 74,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,19,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",yes,Yes,yes,1,4 6 11 12 13 27 30 31 32 36 45 47 48 56 57 58 59 66 68 69 77 78 79 81,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,20,5,videos/02_05_0.mp4,Does the ball travel faster in the second push compared to the first?,yes,Yes,yes,1,2 6 27 30 32 63 75 81 94 95 102 110 125 142 166 167 182 193 197 202 203 211 234 237,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,21,5,videos/02_05_1.mp4,Does the ball travel faster in the second push compared to the first?,no,Yes,yes,0,15 19 42 46 53 108 111 125 133 134 142 143 152 154 171 176 178 179 194 197 208 213 218 222,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,22,5,videos/02_05_0.mp4,Does the ball travel faster in the first push compared to the second?,no,Yes,yes,0,2 6 27 30 32 63 75 81 94 95 102 110 125 142 166 167 182 193 197 202 203 211 234 237,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,23,5,videos/02_05_1.mp4,Does the ball travel faster in the first push compared to the second?,yes,Yes,yes,1,15 19 42 46 53 108 111 125 133 134 142 143 152 154 171 176 178 179 194 197 208 213 218 222,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,24,6,videos/02_05_0.mp4,Is the first push weaker than the second one?,yes,Yes,yes,1,2 6 27 30 32 63 75 81 94 95 102 110 125 142 166 167 182 193 197 202 203 211 234 237,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,25,6,videos/02_05_1.mp4,Is the first push weaker than the second one?,no,Yes,yes,0,15 19 42 46 53 108 111 125 133 134 142 143 152 154 171 176 178 179 194 197 208 213 218 222,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,26,6,videos/02_05_0.mp4,Is the first push stronger than the second one?,no,Yes,yes,0,2 6 27 30 32 63 75 81 94 95 102 110 125 142 166 167 182 193 197 202 203 211 234 237,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,27,6,videos/02_05_1.mp4,Is the first push stronger than the second one?,yes,No,no,0,15 19 42 46 53 108 111 125 133 134 142 143 152 154 171 176 178 179 194 197 208 213 218 222,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,28,7,videos/09_00_0.mp4,Does the box travel farther in the second push compared to the first?,yes,Yes,yes,1,2 5 11 29 36 45 65 71 76 78 81 85 86 88 94 104 110 111 116 120 122 124 152 157,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,29,7,videos/09_00_1.mp4,Does the box travel farther in the second push compared to the first?,no,Yes,yes,0,3 5 14 21 28 38 42 52 53 59 61 65 75 76 87 100 113 120 125 127 135 149 151 154,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,30,7,videos/09_00_0.mp4,Does the box travel farther in the first push compared to the second?,no,Yes,yes,0,2 5 11 29 36 45 65 71 76 78 81 85 86 88 94 104 110 111 116 120 122 124 152 157,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,31,7,videos/09_00_1.mp4,Does the box travel farther in the first push compared to the second?,yes,Yes,yes,1,3 5 14 21 28 38 42 52 53 59 61 65 75 76 87 100 113 120 125 127 135 149 151 154,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,32,8,videos/09_00_0.mp4,Is the first push weaker than the second one?,yes,Yes,yes,1,2 5 11 29 36 45 65 71 76 78 81 85 86 88 94 104 110 111 116 120 122 124 152 157,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,33,8,videos/09_00_1.mp4,Is the first push weaker than the second one?,no,Yes,yes,0,3 5 14 21 28 38 42 52 53 59 61 65 75 76 87 100 113 120 125 127 135 149 151 154,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,34,8,videos/09_00_0.mp4,Is the first push stronger than the second one?,no,No,no,1,2 5 11 29 36 45 65 71 76 78 81 85 86 88 94 104 110 111 116 120 122 124 152 157,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,35,8,videos/09_00_1.mp4,Is the first push stronger than the second one?,yes,Yes,yes,1,3 5 14 21 28 38 42 52 53 59 61 65 75 76 87 100 113 120 125 127 135 149 151 154,,,gpt_5_6_luna_mbhuman_random24.json
random,24,none,36,9,videos/09_01_0.mp4,Does the puck travel farther in the second push compared to the first?,yes,Yes,yes,1,7 12 15 17 24 25 26 45 58 60 61 70 73 74 78 85 96 97 108 109 114 115 117 118,,,gpt_5_6_luna_mbhuman_random24.json
