strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
none,0,no_video,0,0,TimeBlind/videos/vid_00000_0.mp4,Does the boy start eating shortly after the girl puts her cup down?,yes,No,no,0,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,1,0,TimeBlind/videos/vid_00000_1.mp4,Does the boy start eating shortly after the girl puts her cup down?,no,No,no,1,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,2,0,TimeBlind/videos/vid_00000_0.mp4,Does the boy start eating at the same time the girl sets her cup down?,no,No,no,1,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,3,0,TimeBlind/videos/vid_00000_1.mp4,Does the boy start eating at the same time the girl sets her cup down?,yes,No,no,0,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,4,1,TimeBlind/videos/vid_00001_0.mp4,Is the person's second racket swing faster than the first?,yes,No,no,0,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,5,1,TimeBlind/videos/vid_00001_1.mp4,Is the person's second racket swing faster than the first?,no,No,no,1,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,6,1,TimeBlind/videos/vid_00001_0.mp4,Does the person swing the badminton racket faster the first time than the second?,no,No,no,1,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,7,1,TimeBlind/videos/vid_00001_1.mp4,Does the person swing the badminton racket faster the first time than the second?,yes,No,no,0,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,8,2,TimeBlind/videos/vid_00002_0.mp4,Does the man hit the shuttlecock without moving his feet?,yes,No,no,0,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,9,2,TimeBlind/videos/vid_00002_1.mp4,Does the man hit the shuttlecock without moving his feet?,no,No,no,1,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,10,2,TimeBlind/videos/vid_00002_0.mp4,Is the man moving his feet when he hits the shuttlecock?,no,Yes,yes,0,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,11,2,TimeBlind/videos/vid_00002_1.mp4,Is the man moving his feet when he hits the shuttlecock?,yes,Yes,yes,1,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,12,3,TimeBlind/videos/vid_00003_0.mp4,Does the left side of the cigarette gradually change color from white to yellow?,yes,Yes,yes,1,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,13,3,TimeBlind/videos/vid_00003_1.mp4,Does the left side of the cigarette gradually change color from white to yellow?,no,Yes,yes,0,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,14,3,TimeBlind/videos/vid_00003_0.mp4,Does the left side of the cigarette gradually change color from yellow to white?,no,No,no,1,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,15,3,TimeBlind/videos/vid_00003_1.mp4,Does the left side of the cigarette gradually change color from yellow to white?,yes,No,no,0,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,16,4,TimeBlind/videos/vid_00004_0.mp4,Is the sprout getting taller?,yes,Yes,yes,1,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,17,4,TimeBlind/videos/vid_00004_1.mp4,Is the sprout getting taller?,no,Yes,yes,0,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,18,4,TimeBlind/videos/vid_00004_0.mp4,Is the sprout getting shorter?,no,No,no,1,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,19,4,TimeBlind/videos/vid_00004_1.mp4,Is the sprout getting shorter?,yes,No,no,0,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,20,5,TimeBlind/videos/vid_00005_0.mp4,Is the milk carton held for approximately 5 seconds?,yes,No,no,0,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,21,5,TimeBlind/videos/vid_00005_1.mp4,Is the milk carton held for approximately 5 seconds?,no,No,no,1,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,22,5,TimeBlind/videos/vid_00005_0.mp4,Is the milk carton held for approximately 10 seconds?,no,No,no,1,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,23,5,TimeBlind/videos/vid_00005_1.mp4,Is the milk carton held for approximately 10 seconds?,yes,No,no,0,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,24,6,TimeBlind/videos/vid_00006_0.mp4,Does a little girl turn into an old woman?,yes,No,no,0,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,25,6,TimeBlind/videos/vid_00006_1.mp4,Does a little girl turn into an old woman?,no,No,no,1,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,26,6,TimeBlind/videos/vid_00006_0.mp4,Does an old woman turn into a little girl?,no,No,no,1,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,27,6,TimeBlind/videos/vid_00006_1.mp4,Does an old woman turn into a little girl?,yes,No,no,0,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,28,7,TimeBlind/videos/vid_00007_0.mp4,Does the person go from happy to sad?,yes,No,no,0,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,29,7,TimeBlind/videos/vid_00007_1.mp4,Does the person go from happy to sad?,no,No,no,1,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,30,7,TimeBlind/videos/vid_00007_0.mp4,Does the person go from being sad to being happy?,no,Yes,yes,0,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,31,7,TimeBlind/videos/vid_00007_1.mp4,Does the person go from being sad to being happy?,yes,Yes,yes,1,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,32,8,TimeBlind/videos/vid_00008_0.mp4,Is the whole onion being cut into small pieces?,yes,Yes,yes,1,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,33,8,TimeBlind/videos/vid_00008_1.mp4,Is the whole onion being cut into small pieces?,no,Yes,yes,0,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,34,8,TimeBlind/videos/vid_00008_0.mp4,Do the onion pieces reassemble into a whole onion?,no,No,no,1,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,35,8,TimeBlind/videos/vid_00008_1.mp4,Do the onion pieces reassemble into a whole onion?,yes,No,no,0,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,36,9,TimeBlind/videos/vid_00009_0.mp4,Does the butter turn from solid to liquid?,yes,Yes,yes,1,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,37,9,TimeBlind/videos/vid_00009_1.mp4,Does the butter turn from solid to liquid?,no,Yes,yes,0,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,38,9,TimeBlind/videos/vid_00009_0.mp4,Does the butter turn from liquid to solid?,no,Yes,yes,0,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,39,9,TimeBlind/videos/vid_00009_1.mp4,Does the butter turn from liquid to solid?,yes,Yes,yes,1,,,,qwen3_vl_4b_timeblind_novid.json
none,0,no_video,40,10,TimeBlind/videos/vid_00010_0.mp4,"Does the clay change from an irregular, elongated shape into a sphere?",yes,Yes,yes,1,,,,qwen3_vl_4b_timeblind_novid.json
