strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
random,16,none,0,0,videos/02_00_0.mp4,Does the person stir faster the first time compared to the second time?,yes,No,no,0,1 15 32 134 147 148 150 167 223 241 313 316 324 326 329 365,,,gemma4it_mbhuman_random16.json
random,16,none,1,0,videos/02_00_1.mp4,Does the person stir faster the first time compared to the second time?,no,No,no,1,12 28 38 39 47 51 78 154 161 171 192 195 216 276 282 369,,,gemma4it_mbhuman_random16.json
random,16,none,2,0,videos/02_00_0.mp4,Does the person stir slower the first time compared to the second time?,no,No,no,1,1 15 32 134 147 148 150 167 223 241 313 316 324 326 329 365,,,gemma4it_mbhuman_random16.json
random,16,none,3,0,videos/02_00_1.mp4,Does the person stir slower the first time compared to the second time?,yes,No,no,0,12 28 38 39 47 51 78 154 161 171 192 195 216 276 282 369,,,gemma4it_mbhuman_random16.json
random,16,none,4,1,videos/02_01_0.mp4,Does the drawer close faster the first time compared to the second time?,yes,No,no,0,3 28 42 62 65 70 74 82 95 114 118 131 159 172 173 177,,,gemma4it_mbhuman_random16.json
random,16,none,5,1,videos/02_01_1.mp4,Does the drawer close faster the first time compared to the second time?,no,No,no,1,9 15 28 29 32 54 56 64 70 80 88 118 129 141 143 186,,,gemma4it_mbhuman_random16.json
random,16,none,6,1,videos/02_01_0.mp4,Does the drawer close slower the first time compared to the second time?,no,No,no,1,3 28 42 62 65 70 74 82 95 114 118 131 159 172 173 177,,,gemma4it_mbhuman_random16.json
random,16,none,7,1,videos/02_01_1.mp4,Does the drawer close slower the first time compared to the second time?,yes,No,no,0,9 15 28 29 32 54 56 64 70 80 88 118 129 141 143 186,,,gemma4it_mbhuman_random16.json
random,16,none,8,2,videos/02_02_0.mp4,Does the person open their hand faster the first time compared to the second time?,yes,No,no,0,11 16 25 34 38 40 46 60 61 69 74 75 87 96 107 114,,,gemma4it_mbhuman_random16.json
random,16,none,9,2,videos/02_02_1.mp4,Does the person open their hand faster the first time compared to the second time?,no,No,no,1,0 2 9 10 18 21 29 34 49 60 73 84 89 101 105 116,,,gemma4it_mbhuman_random16.json
random,16,none,10,2,videos/02_02_0.mp4,Does the person open their hand slower the first time compared to the second time?,no,No,no,1,11 16 25 34 38 40 46 60 61 69 74 75 87 96 107 114,,,gemma4it_mbhuman_random16.json
random,16,none,11,2,videos/02_02_1.mp4,Does the person open their hand slower the first time compared to the second time?,yes,No,no,0,0 2 9 10 18 21 29 34 49 60 73 84 89 101 105 116,,,gemma4it_mbhuman_random16.json
random,16,none,12,3,videos/02_03_0.mp4,Does the person press the pillow faster the first time compared to the second time?,yes,No,no,0,5 9 20 21 23 38 47 61 68 71 72 84 125 130 135 136,,,gemma4it_mbhuman_random16.json
