strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
uniform,1,no_video,0,0,TimeBlind/videos/vid_00000_0.mp4,Does the boy start eating shortly after the girl puts her cup down?,yes,"thought
<channel|>Please provide the video, text, or context you are referring to so I can answer your question.",,0,,,,gemma4it_tb_uniform1_no_video.json
uniform,1,no_video,1,0,TimeBlind/videos/vid_00000_1.mp4,Does the boy start eating shortly after the girl puts her cup down?,no,"thought
<channel|>Please provide the video, text, or context you are referring to so I can answer your question.",,0,,,,gemma4it_tb_uniform1_no_video.json
uniform,1,no_video,2,0,TimeBlind/videos/vid_00000_0.mp4,Does the boy start eating at the same time the girl sets her cup down?,no,"Please provide the video, text, or description you are referring to so I can answer your question.",,0,,,,gemma4it_tb_uniform1_no_video.json
uniform,1,no_video,3,0,TimeBlind/videos/vid_00000_1.mp4,Does the boy start eating at the same time the girl sets her cup down?,yes,"Please provide the video, text, or description you are referring to so I can answer your question.",,0,,,,gemma4it_tb_uniform1_no_video.json
uniform,1,no_video,4,1,TimeBlind/videos/vid_00001_0.mp4,Is the person's second racket swing faster than the first?,yes,Please provide the video or image you are referring to so I can analyze the swing speeds for you.,,0,,,,gemma4it_tb_uniform1_no_video.json
uniform,1,no_video,5,1,TimeBlind/videos/vid_00001_1.mp4,Is the person's second racket swing faster than the first?,no,Please provide the video or image you are referring to so I can analyze the swing speeds for you.,,0,,,,gemma4it_tb_uniform1_no_video.json
uniform,1,no_video,6,1,TimeBlind/videos/vid_00001_0.mp4,Does the person swing the badminton racket faster the first time than the second?,no,"I cannot answer this question because you have not provided a video, description, or data regarding a person swinging a badminton racket. Please provide the necessary context.",,0,,,,gemma4it_tb_uniform1_no_video.json
uniform,1,no_video,7,1,TimeBlind/videos/vid_00001_1.mp4,Does the person swing the badminton racket faster the first time than the second?,yes,"I cannot answer this question because you have not provided a video, description, or data regarding a person swinging a badminton racket. Please provide the necessary context.",,0,,,,gemma4it_tb_uniform1_no_video.json
uniform,1,no_video,8,2,TimeBlind/videos/vid_00002_0.mp4,Does the man hit the shuttlecock without moving his feet?,yes,Please provide the video or image you are referring to so I can answer your question.,,0,,,,gemma4it_tb_uniform1_no_video.json
uniform,1,no_video,9,2,TimeBlind/videos/vid_00002_1.mp4,Does the man hit the shuttlecock without moving his feet?,no,Please provide the video or image you are referring to so I can answer your question.,,0,,,,gemma4it_tb_uniform1_no_video.json
uniform,1,no_video,10,2,TimeBlind/videos/vid_00002_0.mp4,Is the man moving his feet when he hits the shuttlecock?,no,Please provide the video or image you are referring to so I can see the action and give you an accurate answer.,,0,,,,gemma4it_tb_uniform1_no_video.json
uniform,1,no_video,11,2,TimeBlind/videos/vid_00002_1.mp4,Is the man moving his feet when he hits the shuttlecock?,yes,Please provide the video or image you are referring to so I can see the action and give you an accurate answer.,,0,,,,gemma4it_tb_uniform1_no_video.json
uniform,1,no_video,12,3,TimeBlind/videos/vid_00003_0.mp4,Does the left side of the cigarette gradually change color from white to yellow?,yes,Yes,yes,1,,,,gemma4it_tb_uniform1_no_video.json
uniform,1,no_video,13,3,TimeBlind/videos/vid_00003_1.mp4,Does the left side of the cigarette gradually change color from white to yellow?,no,Yes,yes,0,,,,gemma4it_tb_uniform1_no_video.json
uniform,1,no_video,14,3,TimeBlind/videos/vid_00003_0.mp4,Does the left side of the cigarette gradually change color from yellow to white?,no,Yes,yes,0,,,,gemma4it_tb_uniform1_no_video.json
uniform,1,no_video,15,3,TimeBlind/videos/vid_00003_1.mp4,Does the left side of the cigarette gradually change color from yellow to white?,yes,Yes,yes,1,,,,gemma4it_tb_uniform1_no_video.json
uniform,1,no_video,16,4,TimeBlind/videos/vid_00004_0.mp4,Is the sprout getting taller?,yes,I cannot see the sprout you are referring to. Please provide an image or a description of the sprout's growth over time so I can help you determine if it is getting taller.,,0,,,,gemma4it_tb_uniform1_no_video.json
uniform,1,no_video,17,4,TimeBlind/videos/vid_00004_1.mp4,Is the sprout getting taller?,no,I cannot see the sprout you are referring to. Please provide an image or a description of the sprout's growth over time so I can help you determine if it is getting taller.,,0,,,,gemma4it_tb_uniform1_no_video.json
uniform,1,no_video,18,4,TimeBlind/videos/vid_00004_0.mp4,Is the sprout getting shorter?,no,I cannot see the sprout you are referring to. Please provide an image or more context so I can help you.,,0,,,,gemma4it_tb_uniform1_no_video.json
uniform,1,no_video,19,4,TimeBlind/videos/vid_00004_1.mp4,Is the sprout getting shorter?,yes,I cannot see the sprout you are referring to. Please provide an image or more context so I can help you.,,0,,,,gemma4it_tb_uniform1_no_video.json
