model,arm,I_Acc,Acc,n_instances,source
Qwen3-VL-4B,ordered,6.7,56.7,60,results/models/Qwen3-VL-4B/motionblind/qwen3_vl_4b_mbhuman_per_question_uniform16.csv
Qwen3-VL-4B,shuffled,0.0,50.0,60,results/models/Qwen3-VL-4B/motionblind/qwen3_vl_4b_mbhuman_per_question_uniform16_shuffled_frames.csv
Qwen3-VL-4B,reversed,0.0,45.4,60,results/models/Qwen3-VL-4B/motionblind/qwen3_vl_4b_mbhuman_per_question_uniform16_reversed_frames.csv
Qwen3-VL-4B,no-video,0.0,50.0,60,results/models/Qwen3-VL-4B/motionblind/qwen3_vl_4b_mbhuman_per_question_no_video.csv
Eagle2.5-8B,ordered,10.0,57.9,60,results/models/Eagle-2.5-8B/motionblind/eagle2_5_8b_mbhuman_per_question_uniform16.csv
Eagle2.5-8B,shuffled,0.0,51.2,60,results/models/Eagle-2.5-8B/motionblind/eagle2_5_8b_mbhuman_per_question_uniform16_shuffled_frames.csv
Eagle2.5-8B,reversed,0.0,44.6,60,results/models/Eagle-2.5-8B/motionblind/eagle2_5_8b_mbhuman_per_question_uniform16_reversed_frames.csv
Eagle2.5-8B,no-video,0.0,50.0,60,results/models/Eagle-2.5-8B/motionblind/eagle2_5_8b_mbhuman_per_question_no_video.csv
Inkling-Small,ordered,5.0,54.6,60,results/models/Inkling-Small/motionblind/inkling_small_mbhuman_per_question_uniform16.csv
Motion-o (7B),ordered,6.7,55.0,60,results/models/Motion-o/motionblind/motion_o_mbhuman_per_question_uniform16.csv
Motion-o (7B),shuffled,0.0,50.8,60,results/models/Motion-o/motionblind/motion_o_mbhuman_per_question_uniform16_shuffled_frames.csv
Motion-o (7B),reversed,0.0,47.1,60,results/models/Motion-o/motionblind/motion_o_mbhuman_per_question_uniform16_reversed_frames.csv
Motion-o (7B),no-video,0.0,50.0,60,results/models/Motion-o/motionblind/motion_o_mbhuman_per_question_no_video.csv
Molmo2-8B,ordered,1.7,54.2,60,results/models/Molmo2-8B/motionblind/molmo2_8b_mbhuman_per_question_uniform16.csv
Molmo2-8B,shuffled,0.0,50.8,60,results/models/Molmo2-8B/motionblind/molmo2_8b_mbhuman_per_question_uniform16_shuffled_frames.csv
Molmo2-8B,reversed,1.7,50.8,60,results/models/Molmo2-8B/motionblind/molmo2_8b_mbhuman_per_question_uniform16_reversed_frames.csv
Molmo2-8B,no-video,0.0,50.0,60,results/models/Molmo2-8B/motionblind/molmo2_8b_mbhuman_per_question_uniform16_no_video.csv
Gemini 3.1 Pro,ordered,53.3,79.2,60,results/models/Gemini-3.1-Pro/motionblind/gemini_3_pro_mbhuman_per_question_uniform16.csv
GPT-5.6,ordered,11.7,55.8,60,results/models/GPT-5.6-Luna-720x1280/motionblind/gpt_5_6_luna_hires_mbhuman_per_question_uniform16.csv
