strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
random,1,none,0,0,TimeBlind/videos/vid_00000_0.mp4,Does the boy start eating shortly after the girl puts her cup down?,yes,No.,no,0,,,,motion_o_timeblind_default_random1.json
random,1,none,1,0,TimeBlind/videos/vid_00000_1.mp4,Does the boy start eating shortly after the girl puts her cup down?,no,No.,no,1,,,,motion_o_timeblind_default_random1.json
random,1,none,2,0,TimeBlind/videos/vid_00000_0.mp4,Does the boy start eating at the same time the girl sets her cup down?,no,"No. The boy is already holding and appears to be in the process of eating from his bowl, while the girl has not yet set her cup down; she seems to still have it on the table next to them. Therefore, they do not start eating simultaneously with respect to setting their cups down.",no,1,,,,motion_o_timeblind_default_random1.json
random,1,none,3,0,TimeBlind/videos/vid_00000_1.mp4,Does the boy start eating at the same time the girl sets her cup down?,yes,"No. The person on the left is already holding and appears to be drinking from their bowl, while the person on the right has not yet set their cup down; they seem focused on something in front of them with both hands still engaged around what looks like a laptop keyboard. Therefore, it's clear that these actions do not occur simultaneously as described by ""start eating"" versus setting one’s cup down.""",no,0,,,,motion_o_timeblind_default_random1.json
random,1,none,4,1,TimeBlind/videos/vid_00001_0.mp4,Is the person's second racket swing faster than the first?,yes,No.,no,0,,,,motion_o_timeblind_default_random1.json
random,1,none,5,1,TimeBlind/videos/vid_00001_1.mp4,Is the person's second racket swing faster than the first?,no,No.,no,1,,,,motion_o_timeblind_default_random1.json
random,1,none,6,1,TimeBlind/videos/vid_00001_0.mp4,Does the person swing the badminton racket faster the first time than the second?,no,No.,no,1,,,,motion_o_timeblind_default_random1.json
random,1,none,7,1,TimeBlind/videos/vid_00001_1.mp4,Does the person swing the badminton racket faster the first time than the second?,yes,No.,no,0,,,,motion_o_timeblind_default_random1.json
random,1,none,8,2,TimeBlind/videos/vid_00002_0.mp4,Does the man hit the shuttlecock without moving his feet?,yes,No.,no,0,,,,motion_o_timeblind_default_random1.json
random,1,none,9,2,TimeBlind/videos/vid_00002_1.mp4,Does the man hit the shuttlecock without moving his feet?,no,No.,no,1,,,,motion_o_timeblind_default_random1.json
random,1,none,10,2,TimeBlind/videos/vid_00002_0.mp4,Is the man moving his feet when he hits the shuttlecock?,no,No.,no,1,,,,motion_o_timeblind_default_random1.json
random,1,none,11,2,TimeBlind/videos/vid_00002_1.mp4,Is the man moving his feet when he hits the shuttlecock?,yes,No.,no,0,,,,motion_o_timeblind_default_random1.json
random,1,none,12,3,TimeBlind/videos/vid_00003_0.mp4,Does the left side of the cigarette gradually change color from white to yellow?,yes,No.,no,0,,,,motion_o_timeblind_default_random1.json
random,1,none,13,3,TimeBlind/videos/vid_00003_1.mp4,Does the left side of the cigarette gradually change color from white to yellow?,no,No.,no,1,,,,motion_o_timeblind_default_random1.json
random,1,none,14,3,TimeBlind/videos/vid_00003_0.mp4,Does the left side of the cigarette gradually change color from yellow to white?,no,No.,no,1,,,,motion_o_timeblind_default_random1.json
random,1,none,15,3,TimeBlind/videos/vid_00003_1.mp4,Does the left side of the cigarette gradually change color from yellow to white?,yes,No.,no,0,,,,motion_o_timeblind_default_random1.json
random,1,none,16,4,TimeBlind/videos/vid_00004_0.mp4,Is the sprout getting taller?,yes,No.,no,0,,,,motion_o_timeblind_default_random1.json
random,1,none,17,4,TimeBlind/videos/vid_00004_1.mp4,Is the sprout getting taller?,no,No.,no,1,,,,motion_o_timeblind_default_random1.json
