strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
uniform,24,none,0,0,videos/02_00_0.mp4,Does the person stir faster the first time compared to the second time?,yes,No,no,0,0 16 33 49 66 82 99 115 132 148 165 181 198 214 231 247 264 280 297 313 330 346 363 379,,,gpt_5_6_luna_hires_mbhuman_uniform24.json
uniform,24,none,1,0,videos/02_00_1.mp4,Does the person stir faster the first time compared to the second time?,no,Yes,yes,0,0 16 33 49 66 82 99 115 132 148 165 181 198 214 231 247 264 280 297 313 330 346 363 379,,,gpt_5_6_luna_hires_mbhuman_uniform24.json
uniform,24,none,2,0,videos/02_00_0.mp4,Does the person stir slower the first time compared to the second time?,no,No,no,1,0 16 33 49 66 82 99 115 132 148 165 181 198 214 231 247 264 280 297 313 330 346 363 379,,,gpt_5_6_luna_hires_mbhuman_uniform24.json
uniform,24,none,3,0,videos/02_00_1.mp4,Does the person stir slower the first time compared to the second time?,yes,No,no,0,0 16 33 49 66 82 99 115 132 148 165 181 198 214 231 247 264 280 297 313 330 346 363 379,,,gpt_5_6_luna_hires_mbhuman_uniform24.json
uniform,24,none,4,1,videos/02_01_0.mp4,Does the drawer close faster the first time compared to the second time?,yes,No,no,0,0 8 16 24 33 41 49 57 65 73 81 89 98 106 114 122 130 138 146 154 163 171 179 187,,,gpt_5_6_luna_hires_mbhuman_uniform24.json
uniform,24,none,5,1,videos/02_01_1.mp4,Does the drawer close faster the first time compared to the second time?,no,No,no,1,0 8 16 24 33 41 49 57 65 73 81 89 98 106 114 122 130 138 146 154 163 171 179 187,,,gpt_5_6_luna_hires_mbhuman_uniform24.json
uniform,24,none,6,1,videos/02_01_0.mp4,Does the drawer close slower the first time compared to the second time?,no,No,no,1,0 8 16 24 33 41 49 57 65 73 81 89 98 106 114 122 130 138 146 154 163 171 179 187,,,gpt_5_6_luna_hires_mbhuman_uniform24.json
uniform,24,none,7,1,videos/02_01_1.mp4,Does the drawer close slower the first time compared to the second time?,yes,Yes,yes,1,0 8 16 24 33 41 49 57 65 73 81 89 98 106 114 122 130 138 146 154 163 171 179 187,,,gpt_5_6_luna_hires_mbhuman_uniform24.json
uniform,24,none,8,2,videos/02_02_0.mp4,Does the person open their hand faster the first time compared to the second time?,yes,Yes,yes,1,0 5 10 15 20 25 31 36 41 46 51 56 61 66 71 76 81 86 92 97 102 107 112 117,,,gpt_5_6_luna_hires_mbhuman_uniform24.json
uniform,24,none,9,2,videos/02_02_1.mp4,Does the person open their hand faster the first time compared to the second time?,no,Yes,yes,0,0 5 10 15 20 25 31 36 41 46 51 56 61 66 71 76 81 86 92 97 102 107 112 117,,,gpt_5_6_luna_hires_mbhuman_uniform24.json
uniform,24,none,10,2,videos/02_02_0.mp4,Does the person open their hand slower the first time compared to the second time?,no,Yes,yes,0,0 5 10 15 20 25 31 36 41 46 51 56 61 66 71 76 81 86 92 97 102 107 112 117,,,gpt_5_6_luna_hires_mbhuman_uniform24.json
uniform,24,none,11,2,videos/02_02_1.mp4,Does the person open their hand slower the first time compared to the second time?,yes,Yes,yes,1,0 5 10 15 20 25 31 36 41 46 51 56 61 66 71 76 81 86 92 97 102 107 112 117,,,gpt_5_6_luna_hires_mbhuman_uniform24.json
