strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
hornet,24,none,0,0,videos/02_00_0.mp4,Does the person stir faster the first time compared to the second time?,yes,No,no,0,0 36 48 61 146 158 171 183 195 207 220 232 244 256 268 281 293 305 317 330 342 354 366 379,,,gpt_5_6_luna_mbhuman_hornet24.json
hornet,24,none,1,0,videos/02_00_1.mp4,Does the person stir faster the first time compared to the second time?,no,Yes,yes,0,0 12 36 48 61 73 85 97 110 122 134 158 171 183 195 207 220 256 268 281 342 354 366 379,,,gpt_5_6_luna_mbhuman_hornet24.json
hornet,24,none,2,0,videos/02_00_0.mp4,Does the person stir slower the first time compared to the second time?,no,Yes,yes,0,0 36 48 61 146 158 171 183 195 207 220 232 244 256 268 281 293 305 317 330 342 354 366 379,,,gpt_5_6_luna_mbhuman_hornet24.json
hornet,24,none,3,0,videos/02_00_1.mp4,Does the person stir slower the first time compared to the second time?,yes,Yes,yes,1,0 12 36 48 61 73 85 97 110 122 134 158 171 183 195 207 220 256 268 281 342 354 366 379,,,gpt_5_6_luna_mbhuman_hornet24.json
hornet,24,none,4,1,videos/02_01_0.mp4,Does the drawer close faster the first time compared to the second time?,yes,No,no,0,24 30 36 42 48 54 60 66 72 96 102 108 114 120 126 132 138 144 150 156 162 174 180 187,,,gpt_5_6_luna_mbhuman_hornet24.json
hornet,24,none,5,1,videos/02_01_1.mp4,Does the drawer close faster the first time compared to the second time?,no,Yes,yes,0,6 30 36 42 48 54 60 66 72 78 84 90 96 108 114 120 144 150 156 162 168 174 180 187,,,gpt_5_6_luna_mbhuman_hornet24.json
hornet,24,none,6,1,videos/02_01_0.mp4,Does the drawer close slower the first time compared to the second time?,no,Yes,yes,0,24 30 36 42 48 54 60 66 72 96 102 108 114 120 126 132 138 144 150 156 162 174 180 187,,,gpt_5_6_luna_mbhuman_hornet24.json
hornet,24,none,7,1,videos/02_01_1.mp4,Does the drawer close slower the first time compared to the second time?,yes,Yes,yes,1,6 30 36 42 48 54 60 66 72 78 84 90 96 108 114 120 144 150 156 162 168 174 180 187,,,gpt_5_6_luna_mbhuman_hornet24.json
hornet,24,none,8,2,videos/02_02_0.mp4,Does the person open their hand faster the first time compared to the second time?,yes,Yes,yes,1,11 33 37 41 45 49 52 56 60 64 67 71 75 79 83 86 90 94 98 101 105 109 113 117,,,gpt_5_6_luna_mbhuman_hornet24.json
hornet,24,none,9,2,videos/02_02_1.mp4,Does the person open their hand faster the first time compared to the second time?,no,No,no,1,3 7 11 15 18 22 26 30 33 37 41 45 49 52 56 60 64 67 71 75 79 83 86 98,,,gpt_5_6_luna_mbhuman_hornet24.json
hornet,24,none,10,2,videos/02_02_0.mp4,Does the person open their hand slower the first time compared to the second time?,no,No,no,1,11 33 37 41 45 49 52 56 60 64 67 71 75 79 83 86 90 94 98 101 105 109 113 117,,,gpt_5_6_luna_mbhuman_hornet24.json
hornet,24,none,11,2,videos/02_02_1.mp4,Does the person open their hand slower the first time compared to the second time?,yes,No,no,0,3 7 11 15 18 22 26 30 33 37 41 45 49 52 56 60 64 67 71 75 79 83 86 98,,,gpt_5_6_luna_mbhuman_hornet24.json
hornet,24,none,12,3,videos/02_03_0.mp4,Does the person press the pillow faster the first time compared to the second time?,yes,No,no,0,0 4 22 27 32 36 41 45 50 68 73 82 91 96 100 105 109 114 119 123 128 132 137 142,,,gpt_5_6_luna_mbhuman_hornet24.json
hornet,24,none,13,3,videos/02_03_1.mp4,Does the person press the pillow faster the first time compared to the second time?,no,No,no,1,4 13 18 22 27 41 45 50 54 59 64 68 73 77 82 87 91 114 119 123 128 132 137 142,,,gpt_5_6_luna_mbhuman_hornet24.json
hornet,24,none,14,3,videos/02_03_0.mp4,Does the person press the pillow slower the first time compared to the second time?,no,No,no,1,0 4 22 27 32 36 41 45 50 68 73 82 91 96 100 105 109 114 119 123 128 132 137 142,,,gpt_5_6_luna_mbhuman_hornet24.json
hornet,24,none,15,3,videos/02_03_1.mp4,Does the person press the pillow slower the first time compared to the second time?,yes,No,no,0,4 13 18 22 27 41 45 50 54 59 64 68 73 77 82 87 91 114 119 123 128 132 137 142,,,gpt_5_6_luna_mbhuman_hornet24.json
hornet,24,none,16,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",yes,Yes,yes,1,0 2 5 7 10 13 15 18 21 23 26 44 47 50 52 55 58 60 63 66 68 71 74 76,,,gpt_5_6_luna_mbhuman_hornet24.json
hornet,24,none,17,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",no,Yes,yes,0,0 2 5 7 10 13 15 18 21 23 26 29 37 39 42 44 47 50 52 55 58 60 79 82,,,gpt_5_6_luna_mbhuman_hornet24.json
hornet,24,none,18,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",no,No,no,1,0 2 5 7 10 13 15 18 21 23 26 44 47 50 52 55 58 60 63 66 68 71 74 76,,,gpt_5_6_luna_mbhuman_hornet24.json
hornet,24,none,19,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",yes,Yes,yes,1,0 2 5 7 10 13 15 18 21 23 26 29 37 39 42 44 47 50 52 55 58 60 79 82,,,gpt_5_6_luna_mbhuman_hornet24.json
