strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
hornet,4,none,0,0,videos/02_00_0.mp4,Does the person stir faster the first time compared to the second time?,yes,No,no,0,0 146 293 366,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,1,0,videos/02_00_1.mp4,Does the person stir faster the first time compared to the second time?,no,No,no,1,0 171 220 366,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,2,0,videos/02_00_0.mp4,Does the person stir slower the first time compared to the second time?,no,No,no,1,0 146 293 366,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,3,0,videos/02_00_1.mp4,Does the person stir slower the first time compared to the second time?,yes,No,no,0,0 171 220 366,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,4,1,videos/02_01_0.mp4,Does the drawer close faster the first time compared to the second time?,yes,No,no,0,126 132 138 162,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,5,1,videos/02_01_1.mp4,Does the drawer close faster the first time compared to the second time?,no,No,no,1,60 66 72 156,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,6,1,videos/02_01_0.mp4,Does the drawer close slower the first time compared to the second time?,no,No,no,1,126 132 138 162,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,7,1,videos/02_01_1.mp4,Does the drawer close slower the first time compared to the second time?,yes,No,no,0,60 66 72 156,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,8,2,videos/02_02_0.mp4,Does the person open their hand faster the first time compared to the second time?,yes,No,no,0,86 90 94 109,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,9,2,videos/02_02_1.mp4,Does the person open their hand faster the first time compared to the second time?,no,No,no,1,56 60 79 83,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,10,2,videos/02_02_0.mp4,Does the person open their hand slower the first time compared to the second time?,no,No,no,1,86 90 94 109,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,11,2,videos/02_02_1.mp4,Does the person open their hand slower the first time compared to the second time?,yes,No,no,0,56 60 79 83,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,12,3,videos/02_03_0.mp4,Does the person press the pillow faster the first time compared to the second time?,yes,No,no,0,32 36 41 142,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,13,3,videos/02_03_1.mp4,Does the person press the pillow faster the first time compared to the second time?,no,No,no,1,119 123 128 132,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,14,3,videos/02_03_0.mp4,Does the person press the pillow slower the first time compared to the second time?,no,No,no,1,32 36 41 142,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,15,3,videos/02_03_1.mp4,Does the person press the pillow slower the first time compared to the second time?,yes,No,no,0,119 123 128 132,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,16,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",yes,No,no,0,0 2 5 55,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,17,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",no,No,no,1,0 5 7 37,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,18,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",no,No,no,1,0 2 5 55,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,19,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",yes,No,no,0,0 5 7 37,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,20,5,videos/02_05_0.mp4,Does the ball travel faster in the second push compared to the first?,yes,No,no,0,39 46 101 109,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,21,5,videos/02_05_1.mp4,Does the ball travel faster in the second push compared to the first?,no,No,no,1,156 163 218 226,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,22,5,videos/02_05_0.mp4,Does the ball travel faster in the first push compared to the second?,no,No,no,1,39 46 101 109,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,23,5,videos/02_05_1.mp4,Does the ball travel faster in the first push compared to the second?,yes,No,no,0,156 163 218 226,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,24,6,videos/02_05_0.mp4,Is the first push weaker than the second one?,yes,No,no,0,39 46 101 109,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,25,6,videos/02_05_1.mp4,Is the first push weaker than the second one?,no,No,no,1,156 163 218 226,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,26,6,videos/02_05_0.mp4,Is the first push stronger than the second one?,no,No,no,1,39 46 101 109,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,27,6,videos/02_05_1.mp4,Is the first push stronger than the second one?,yes,No,no,0,156 163 218 226,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,28,7,videos/09_00_0.mp4,Does the box travel farther in the second push compared to the first?,yes,No,no,0,20 91 96 101,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,29,7,videos/09_00_1.mp4,Does the box travel farther in the second push compared to the first?,no,No,no,1,30 35 40 111,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,30,7,videos/09_00_0.mp4,Does the box travel farther in the first push compared to the second?,no,No,no,1,20 91 96 101,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,31,7,videos/09_00_1.mp4,Does the box travel farther in the first push compared to the second?,yes,No,no,0,30 35 40 111,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,32,8,videos/09_00_0.mp4,Is the first push weaker than the second one?,yes,No,no,0,20 91 96 101,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,33,8,videos/09_00_1.mp4,Is the first push weaker than the second one?,no,No,no,1,30 35 40 111,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,34,8,videos/09_00_0.mp4,Is the first push stronger than the second one?,no,No,no,1,20 91 96 101,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,35,8,videos/09_00_1.mp4,Is the first push stronger than the second one?,yes,No,no,0,30 35 40 111,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,36,9,videos/09_01_0.mp4,Does the puck travel farther in the second push compared to the first?,yes,No,no,0,0 3 7 77,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,37,9,videos/09_01_1.mp4,Does the puck travel farther in the second push compared to the first?,no,No,no,1,30 77 81 85,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,38,9,videos/09_01_0.mp4,Does the puck travel farther in the first push compared to the second?,no,No,no,1,0 3 7 77,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,39,9,videos/09_01_1.mp4,Does the puck travel farther in the first push compared to the second?,yes,No,no,0,30 77 81 85,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,40,10,videos/09_01_0.mp4,Is the first push weaker than the second one?,yes,No,no,0,0 3 7 77,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
hornet,4,none,41,10,videos/09_01_1.mp4,Is the first push weaker than the second one?,no,No,no,1,30 77 81 85,,,qwen3_vl_4b_mbhuman_hornet4_full_pool64.json
