strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
random,4,none,0,0,videos/02_00_0.mp4,Does the person stir faster the first time compared to the second time?,yes,No,no,0,33 110 325 364,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,1,0,videos/02_00_1.mp4,Does the person stir faster the first time compared to the second time?,no,No,no,1,100 116 232 247,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,2,0,videos/02_00_0.mp4,Does the person stir slower the first time compared to the second time?,no,No,no,1,33 110 325 364,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,3,0,videos/02_00_1.mp4,Does the person stir slower the first time compared to the second time?,yes,No,no,0,100 116 232 247,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,4,1,videos/02_01_0.mp4,Does the drawer close faster the first time compared to the second time?,yes,No,no,0,91 123 161 177,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,5,1,videos/02_01_1.mp4,Does the drawer close faster the first time compared to the second time?,no,No,no,1,44 81 116 175,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,6,1,videos/02_01_0.mp4,Does the drawer close slower the first time compared to the second time?,no,No,no,1,91 123 161 177,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,7,1,videos/02_01_1.mp4,Does the drawer close slower the first time compared to the second time?,yes,No,no,0,44 81 116 175,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,8,2,videos/02_02_0.mp4,Does the person open their hand faster the first time compared to the second time?,yes,No,no,0,13 15 40 55,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,9,2,videos/02_02_1.mp4,Does the person open their hand faster the first time compared to the second time?,no,No,no,1,42 70 90 98,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,10,2,videos/02_02_0.mp4,Does the person open their hand slower the first time compared to the second time?,no,No,no,1,13 15 40 55,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,11,2,videos/02_02_1.mp4,Does the person open their hand slower the first time compared to the second time?,yes,No,no,0,42 70 90 98,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,12,3,videos/02_03_0.mp4,Does the person press the pillow faster the first time compared to the second time?,yes,No,no,0,32 34 53 118,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,13,3,videos/02_03_1.mp4,Does the person press the pillow faster the first time compared to the second time?,no,No,no,1,1 26 40 72,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,14,3,videos/02_03_0.mp4,Does the person press the pillow slower the first time compared to the second time?,no,No,no,1,32 34 53 118,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,15,3,videos/02_03_1.mp4,Does the person press the pillow slower the first time compared to the second time?,yes,No,no,0,1 26 40 72,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,16,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",yes,No,no,0,3 36 53 59,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,17,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",no,No,no,1,23 28 40 72,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,18,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",no,No,no,1,3 36 53 59,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,19,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",yes,No,no,0,23 28 40 72,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,20,5,videos/02_05_0.mp4,Does the ball travel faster in the second push compared to the first?,yes,No,no,0,16 173 236 237,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,21,5,videos/02_05_1.mp4,Does the ball travel faster in the second push compared to the first?,no,No,no,1,18 76 131 231,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,22,5,videos/02_05_0.mp4,Does the ball travel faster in the first push compared to the second?,no,No,no,1,16 173 236 237,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,23,5,videos/02_05_1.mp4,Does the ball travel faster in the first push compared to the second?,yes,No,no,0,18 76 131 231,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,24,6,videos/02_05_0.mp4,Is the first push weaker than the second one?,yes,No,no,0,16 173 236 237,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,25,6,videos/02_05_1.mp4,Is the first push weaker than the second one?,no,No,no,1,18 76 131 231,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,26,6,videos/02_05_0.mp4,Is the first push stronger than the second one?,no,No,no,1,16 173 236 237,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,27,6,videos/02_05_1.mp4,Is the first push stronger than the second one?,yes,No,no,0,18 76 131 231,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,28,7,videos/09_00_0.mp4,Does the box travel farther in the second push compared to the first?,yes,Yes,yes,1,52 75 86 94,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,29,7,videos/09_00_1.mp4,Does the box travel farther in the second push compared to the first?,no,Yes,yes,0,14 23 94 107,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,30,7,videos/09_00_0.mp4,Does the box travel farther in the first push compared to the second?,no,Yes,yes,0,52 75 86 94,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,31,7,videos/09_00_1.mp4,Does the box travel farther in the first push compared to the second?,yes,Yes,yes,1,14 23 94 107,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,32,8,videos/09_00_0.mp4,Is the first push weaker than the second one?,yes,No,no,0,52 75 86 94,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,33,8,videos/09_00_1.mp4,Is the first push weaker than the second one?,no,No,no,1,14 23 94 107,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,34,8,videos/09_00_0.mp4,Is the first push stronger than the second one?,no,No,no,1,52 75 86 94,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,35,8,videos/09_00_1.mp4,Is the first push stronger than the second one?,yes,No,no,0,14 23 94 107,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,36,9,videos/09_01_0.mp4,Does the puck travel farther in the second push compared to the first?,yes,No,no,0,10 53 66 119,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,37,9,videos/09_01_1.mp4,Does the puck travel farther in the second push compared to the first?,no,No,no,1,79 80 85 89,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,38,9,videos/09_01_0.mp4,Does the puck travel farther in the first push compared to the second?,no,No,no,1,10 53 66 119,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,39,9,videos/09_01_1.mp4,Does the puck travel farther in the first push compared to the second?,yes,No,no,0,79 80 85 89,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,40,10,videos/09_01_0.mp4,Is the first push weaker than the second one?,yes,Yes,yes,1,10 53 66 119,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,41,10,videos/09_01_1.mp4,Is the first push weaker than the second one?,no,No,no,1,79 80 85 89,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,42,10,videos/09_01_0.mp4,Is the first push stronger than the second one?,no,No,no,1,10 53 66 119,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,43,10,videos/09_01_1.mp4,Is the first push stronger than the second one?,yes,No,no,0,79 80 85 89,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,44,11,videos/09_02_0.mp4,Does the toy car travel farther in the second push compared to the first?,yes,No,no,0,16 18 19 121,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,45,11,videos/09_02_1.mp4,Does the toy car travel farther in the second push compared to the first?,no,No,no,1,37 54 75 93,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,46,11,videos/09_02_0.mp4,Does the toy car travel farther in the first push compared to the second?,no,No,no,1,16 18 19 121,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,47,11,videos/09_02_1.mp4,Does the toy car travel farther in the first push compared to the second?,yes,No,no,0,37 54 75 93,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,48,12,videos/09_02_0.mp4,Is the first push weaker than the second one?,yes,No,no,0,16 18 19 121,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,49,12,videos/09_02_1.mp4,Is the first push weaker than the second one?,no,No,no,1,37 54 75 93,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,50,12,videos/09_02_0.mp4,Is the first push stronger than the second one?,no,No,no,1,16 18 19 121,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,51,12,videos/09_02_1.mp4,Is the first push stronger than the second one?,yes,No,no,0,37 54 75 93,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,52,13,videos/09_03_0.mp4,Does the ball travel farther in the second push compared to the first?,yes,No,no,0,44 112 167 245,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,53,13,videos/09_03_1.mp4,Does the ball travel farther in the second push compared to the first?,no,No,no,1,1 59 100 110,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,54,13,videos/09_03_0.mp4,Does the ball travel farther in the first push compared to the second?,no,No,no,1,44 112 167 245,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,55,13,videos/09_03_1.mp4,Does the ball travel farther in the first push compared to the second?,yes,No,no,0,1 59 100 110,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,56,14,videos/09_03_0.mp4,Is the first push weaker than the second one?,yes,No,no,0,44 112 167 245,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,57,14,videos/09_03_1.mp4,Is the first push weaker than the second one?,no,No,no,1,1 59 100 110,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,58,14,videos/09_03_0.mp4,Is the first push stronger than the second one?,no,No,no,1,44 112 167 245,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,59,14,videos/09_03_1.mp4,Is the first push stronger than the second one?,yes,No,no,0,1 59 100 110,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,60,15,videos/09_04_0.mp4,Does the ball travel farther in the second push compared to the first?,yes,No,no,0,16 369 388 393,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,61,15,videos/09_04_1.mp4,Does the ball travel farther in the second push compared to the first?,no,No,no,1,236 324 396 463,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,62,15,videos/09_04_0.mp4,Does the ball travel farther in the first push compared to the second?,no,No,no,1,16 369 388 393,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,63,15,videos/09_04_1.mp4,Does the ball travel farther in the first push compared to the second?,yes,No,no,0,236 324 396 463,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,64,16,videos/09_04_0.mp4,Is the first push weaker than the second one?,yes,No,no,0,16 369 388 393,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,65,16,videos/09_04_1.mp4,Is the first push weaker than the second one?,no,No,no,1,236 324 396 463,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,66,16,videos/09_04_0.mp4,Is the first push stronger than the second one?,no,No,no,1,16 369 388 393,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,67,16,videos/09_04_1.mp4,Is the first push stronger than the second one?,yes,No,no,0,236 324 396 463,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,68,17,videos/09_04_0.mp4,Does the ball travel faster in the second push compared to the first?,yes,No,no,0,16 369 388 393,,,qwen3_vl_4b_mbhuman_random4.json
random,4,none,69,17,videos/09_04_1.mp4,Does the ball travel faster in the second push compared to the first?,no,No,no,1,236 324 396 463,,,qwen3_vl_4b_mbhuman_random4.json
