strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
uniform,16,shuffled_frames,0,0,videos/02_00_0.mp4,Does the person stir faster the first time compared to the second time?,yes,Yes,yes,1,,,,molmo2_8b_motionblindv2_default_uniform16_shuf0.json
uniform,16,shuffled_frames,1,0,videos/02_00_1.mp4,Does the person stir faster the first time compared to the second time?,no,Yes,yes,0,,,,molmo2_8b_motionblindv2_default_uniform16_shuf0.json
uniform,16,shuffled_frames,2,0,videos/02_00_0.mp4,Does the person stir slower the first time compared to the second time?,no,Yes,yes,0,,,,molmo2_8b_motionblindv2_default_uniform16_shuf0.json
uniform,16,shuffled_frames,3,0,videos/02_00_1.mp4,Does the person stir slower the first time compared to the second time?,yes,Yes,yes,1,,,,molmo2_8b_motionblindv2_default_uniform16_shuf0.json
uniform,16,shuffled_frames,4,1,videos/02_01_0.mp4,Does the drawer close faster the first time compared to the second time?,yes,Yes.,yes,1,,,,molmo2_8b_motionblindv2_default_uniform16_shuf0.json
uniform,16,shuffled_frames,5,1,videos/02_01_1.mp4,Does the drawer close faster the first time compared to the second time?,no,Yes,yes,0,,,,molmo2_8b_motionblindv2_default_uniform16_shuf0.json
uniform,16,shuffled_frames,6,1,videos/02_01_0.mp4,Does the drawer close slower the first time compared to the second time?,no,Yes.,yes,0,,,,molmo2_8b_motionblindv2_default_uniform16_shuf0.json
uniform,16,shuffled_frames,7,1,videos/02_01_1.mp4,Does the drawer close slower the first time compared to the second time?,yes,Yes.,yes,1,,,,molmo2_8b_motionblindv2_default_uniform16_shuf0.json
uniform,16,shuffled_frames,8,2,videos/02_02_0.mp4,Does the person open their hand faster the first time compared to the second time?,yes,Yes,yes,1,,,,molmo2_8b_motionblindv2_default_uniform16_shuf0.json
uniform,16,shuffled_frames,9,2,videos/02_02_1.mp4,Does the person open their hand faster the first time compared to the second time?,no,Yes,yes,0,,,,molmo2_8b_motionblindv2_default_uniform16_shuf0.json
uniform,16,shuffled_frames,10,2,videos/02_02_0.mp4,Does the person open their hand slower the first time compared to the second time?,no,Yes,yes,0,,,,molmo2_8b_motionblindv2_default_uniform16_shuf0.json
uniform,16,shuffled_frames,11,2,videos/02_02_1.mp4,Does the person open their hand slower the first time compared to the second time?,yes,Yes.,yes,1,,,,molmo2_8b_motionblindv2_default_uniform16_shuf0.json
uniform,16,shuffled_frames,12,3,videos/02_03_0.mp4,Does the person press the pillow faster the first time compared to the second time?,yes,Yes,yes,1,,,,molmo2_8b_motionblindv2_default_uniform16_shuf0.json
uniform,16,shuffled_frames,13,3,videos/02_03_1.mp4,Does the person press the pillow faster the first time compared to the second time?,no,Yes,yes,0,,,,molmo2_8b_motionblindv2_default_uniform16_shuf0.json
uniform,16,shuffled_frames,14,3,videos/02_03_0.mp4,Does the person press the pillow slower the first time compared to the second time?,no,Yes,yes,0,,,,molmo2_8b_motionblindv2_default_uniform16_shuf0.json
