strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
random,1,none,0,0,TimeBlind/videos/vid_00000_0.mp4,Does the boy start eating shortly after the girl puts her cup down?,yes,I cannot answer this question because the video is only a single image.,,0,,,,gemma4it_tb_random1.json
random,1,none,1,0,TimeBlind/videos/vid_00000_1.mp4,Does the boy start eating shortly after the girl puts her cup down?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,2,0,TimeBlind/videos/vid_00000_0.mp4,Does the boy start eating at the same time the girl sets her cup down?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,3,0,TimeBlind/videos/vid_00000_1.mp4,Does the boy start eating at the same time the girl sets her cup down?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,4,1,TimeBlind/videos/vid_00001_0.mp4,Is the person's second racket swing faster than the first?,yes,"I cannot answer this question because the image only shows a single moment in time, and there is no second racket swing to compare it to.",no,0,,,,gemma4it_tb_random1.json
random,1,none,5,1,TimeBlind/videos/vid_00001_1.mp4,Is the person's second racket swing faster than the first?,no,"I cannot answer this question because the image only shows a single moment in time, not a sequence of swings.",,0,,,,gemma4it_tb_random1.json
random,1,none,6,1,TimeBlind/videos/vid_00001_0.mp4,Does the person swing the badminton racket faster the first time than the second?,no,"I cannot answer this question because the image only shows a single moment in time. To determine the speed of the swing, I would need to see a video or a sequence of images.",,0,,,,gemma4it_tb_random1.json
random,1,none,7,1,TimeBlind/videos/vid_00001_1.mp4,Does the person swing the badminton racket faster the first time than the second?,yes,"I cannot answer this question because the image only shows a single moment in time. To determine the speed of the swing, I would need to see a video or a sequence of images.",,0,,,,gemma4it_tb_random1.json
random,1,none,8,2,TimeBlind/videos/vid_00002_0.mp4,Does the man hit the shuttlecock without moving his feet?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,9,2,TimeBlind/videos/vid_00002_1.mp4,Does the man hit the shuttlecock without moving his feet?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,10,2,TimeBlind/videos/vid_00002_0.mp4,Is the man moving his feet when he hits the shuttlecock?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,11,2,TimeBlind/videos/vid_00002_1.mp4,Is the man moving his feet when he hits the shuttlecock?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,12,3,TimeBlind/videos/vid_00003_0.mp4,Does the left side of the cigarette gradually change color from white to yellow?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,13,3,TimeBlind/videos/vid_00003_1.mp4,Does the left side of the cigarette gradually change color from white to yellow?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,14,3,TimeBlind/videos/vid_00003_0.mp4,Does the left side of the cigarette gradually change color from yellow to white?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,15,3,TimeBlind/videos/vid_00003_1.mp4,Does the left side of the cigarette gradually change color from yellow to white?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,16,4,TimeBlind/videos/vid_00004_0.mp4,Is the sprout getting taller?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,17,4,TimeBlind/videos/vid_00004_1.mp4,Is the sprout getting taller?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,18,4,TimeBlind/videos/vid_00004_0.mp4,Is the sprout getting shorter?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,19,4,TimeBlind/videos/vid_00004_1.mp4,Is the sprout getting shorter?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,20,5,TimeBlind/videos/vid_00005_0.mp4,Is the milk carton held for approximately 5 seconds?,yes,I cannot answer this question because the image is a static photo and does not provide information about how long the milk carton was held.,,0,,,,gemma4it_tb_random1.json
random,1,none,21,5,TimeBlind/videos/vid_00005_1.mp4,Is the milk carton held for approximately 5 seconds?,no,I cannot determine the duration of time the milk carton is held from a single still image.,,0,,,,gemma4it_tb_random1.json
random,1,none,22,5,TimeBlind/videos/vid_00005_0.mp4,Is the milk carton held for approximately 10 seconds?,no,I cannot answer this question because the image is a static photo and does not provide information about how long the milk carton is being held.,,0,,,,gemma4it_tb_random1.json
random,1,none,23,5,TimeBlind/videos/vid_00005_1.mp4,Is the milk carton held for approximately 10 seconds?,yes,I cannot determine the duration of time the milk carton is held from a single still image.,,0,,,,gemma4it_tb_random1.json
random,1,none,24,6,TimeBlind/videos/vid_00006_0.mp4,Does a little girl turn into an old woman?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,25,6,TimeBlind/videos/vid_00006_1.mp4,Does a little girl turn into an old woman?,no,Yes,yes,0,,,,gemma4it_tb_random1.json
random,1,none,26,6,TimeBlind/videos/vid_00006_0.mp4,Does an old woman turn into a little girl?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,27,6,TimeBlind/videos/vid_00006_1.mp4,Does an old woman turn into a little girl?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,28,7,TimeBlind/videos/vid_00007_0.mp4,Does the person go from happy to sad?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,29,7,TimeBlind/videos/vid_00007_1.mp4,Does the person go from happy to sad?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,30,7,TimeBlind/videos/vid_00007_0.mp4,Does the person go from being sad to being happy?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,31,7,TimeBlind/videos/vid_00007_1.mp4,Does the person go from being sad to being happy?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,32,8,TimeBlind/videos/vid_00008_0.mp4,Is the whole onion being cut into small pieces?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,33,8,TimeBlind/videos/vid_00008_1.mp4,Is the whole onion being cut into small pieces?,no,Yes,yes,0,,,,gemma4it_tb_random1.json
random,1,none,34,8,TimeBlind/videos/vid_00008_0.mp4,Do the onion pieces reassemble into a whole onion?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,35,8,TimeBlind/videos/vid_00008_1.mp4,Do the onion pieces reassemble into a whole onion?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,36,9,TimeBlind/videos/vid_00009_0.mp4,Does the butter turn from solid to liquid?,yes,Yes,yes,1,,,,gemma4it_tb_random1.json
random,1,none,37,9,TimeBlind/videos/vid_00009_1.mp4,Does the butter turn from solid to liquid?,no,Yes,yes,0,,,,gemma4it_tb_random1.json
random,1,none,38,9,TimeBlind/videos/vid_00009_0.mp4,Does the butter turn from liquid to solid?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,39,9,TimeBlind/videos/vid_00009_1.mp4,Does the butter turn from liquid to solid?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,40,10,TimeBlind/videos/vid_00010_0.mp4,"Does the clay change from an irregular, elongated shape into a sphere?",yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,41,10,TimeBlind/videos/vid_00010_1.mp4,"Does the clay change from an irregular, elongated shape into a sphere?",no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,42,10,TimeBlind/videos/vid_00010_0.mp4,"Does the clay change from a sphere into an irregular, elongated shape?",no,Yes,yes,0,,,,gemma4it_tb_random1.json
random,1,none,43,10,TimeBlind/videos/vid_00010_1.mp4,"Does the clay change from a sphere into an irregular, elongated shape?",yes,Yes,yes,1,,,,gemma4it_tb_random1.json
random,1,none,44,11,TimeBlind/videos/vid_00011_0.mp4,Is the pine cone spinning clockwise when viewed from above?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,45,11,TimeBlind/videos/vid_00011_1.mp4,Is the pine cone spinning clockwise when viewed from above?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,46,11,TimeBlind/videos/vid_00011_0.mp4,Is the pine cone spinning counterclockwise when viewed from above?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,47,11,TimeBlind/videos/vid_00011_1.mp4,Is the pine cone spinning counterclockwise when viewed from above?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,48,12,TimeBlind/videos/vid_00012_0.mp4,Is the pine cone going from closed to open?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,49,12,TimeBlind/videos/vid_00012_1.mp4,Is the pine cone going from closed to open?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,50,12,TimeBlind/videos/vid_00012_0.mp4,Is the pine cone going from open to closed?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,51,12,TimeBlind/videos/vid_00012_1.mp4,Is the pine cone going from open to closed?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,52,13,TimeBlind/videos/vid_00013_0.mp4,Does the seed coat move away from the soil?,yes,Yes,yes,1,,,,gemma4it_tb_random1.json
random,1,none,53,13,TimeBlind/videos/vid_00013_1.mp4,Does the seed coat move away from the soil?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,54,13,TimeBlind/videos/vid_00013_0.mp4,Does the seed coat move toward the soil?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,55,13,TimeBlind/videos/vid_00013_1.mp4,Does the seed coat move toward the soil?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,56,14,TimeBlind/videos/vid_00014_0.mp4,Is the pine tree getting taller?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,57,14,TimeBlind/videos/vid_00014_1.mp4,Is the pine tree getting taller?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,58,14,TimeBlind/videos/vid_00014_0.mp4,Is the pine tree getting shorter?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,59,14,TimeBlind/videos/vid_00014_1.mp4,Is the pine tree getting shorter?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,60,15,TimeBlind/videos/vid_00015_0.mp4,Does the number of small black objects in the clear container go from one to five?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,61,15,TimeBlind/videos/vid_00015_1.mp4,Does the number of small black objects in the clear container go from one to five?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,62,15,TimeBlind/videos/vid_00015_0.mp4,Does the number of small black objects in the transparent container decrease from five to one?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,63,15,TimeBlind/videos/vid_00015_1.mp4,Does the number of small black objects in the transparent container decrease from five to one?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,64,16,TimeBlind/videos/vid_00016_0.mp4,Does the strawberry's color gradually change from light green to red?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,65,16,TimeBlind/videos/vid_00016_1.mp4,Does the strawberry's color gradually change from light green to red?,no,Yes,yes,0,,,,gemma4it_tb_random1.json
random,1,none,66,16,TimeBlind/videos/vid_00016_0.mp4,Does the strawberry's color gradually change from red to light green?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,67,16,TimeBlind/videos/vid_00016_1.mp4,Does the strawberry's color gradually change from red to light green?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,68,17,TimeBlind/videos/vid_00017_0.mp4,"When viewed from above, does the topmost sprout rotate counterclockwise?",yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,69,17,TimeBlind/videos/vid_00017_1.mp4,"When viewed from above, does the topmost sprout rotate counterclockwise?",no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,70,17,TimeBlind/videos/vid_00017_0.mp4,"When viewed from above, does the top sprout rotate clockwise?",no,I cannot determine the rotation of the sprout from a single still image.,,0,,,,gemma4it_tb_random1.json
random,1,none,71,17,TimeBlind/videos/vid_00017_1.mp4,"When viewed from above, does the top sprout rotate clockwise?",yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,72,18,TimeBlind/videos/vid_00018_0.mp4,Does the person wipe the whiteboard with small strokes?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,73,18,TimeBlind/videos/vid_00018_1.mp4,Does the person wipe the whiteboard with small strokes?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,74,18,TimeBlind/videos/vid_00018_0.mp4,Does the person wipe the whiteboard with large strokes?,no,Yes,yes,0,,,,gemma4it_tb_random1.json
random,1,none,75,18,TimeBlind/videos/vid_00018_1.mp4,Does the person wipe the whiteboard with large strokes?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,76,19,TimeBlind/videos/vid_00019_0.mp4,Does the number of leaves increase from one to three?,yes,No,no,0,,,,gemma4it_tb_random1.json
random,1,none,77,19,TimeBlind/videos/vid_00019_1.mp4,Does the number of leaves increase from one to three?,no,No,no,1,,,,gemma4it_tb_random1.json
random,1,none,78,19,TimeBlind/videos/vid_00019_0.mp4,Does the number of leaves decrease from three to one?,no,No,no,1,,,,gemma4it_tb_random1.json
