strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
random,4,none,0,0,videos/02_00_0.mp4,Does the person stir faster the first time compared to the second time?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,1,0,videos/02_00_1.mp4,Does the person stir faster the first time compared to the second time?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,2,0,videos/02_00_0.mp4,Does the person stir slower the first time compared to the second time?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,3,0,videos/02_00_1.mp4,Does the person stir slower the first time compared to the second time?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,4,1,videos/02_01_0.mp4,Does the drawer close faster the first time compared to the second time?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,5,1,videos/02_01_1.mp4,Does the drawer close faster the first time compared to the second time?,no,No.,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,6,1,videos/02_01_0.mp4,Does the drawer close slower the first time compared to the second time?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,7,1,videos/02_01_1.mp4,Does the drawer close slower the first time compared to the second time?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,8,2,videos/02_02_0.mp4,Does the person open their hand faster the first time compared to the second time?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,9,2,videos/02_02_1.mp4,Does the person open their hand faster the first time compared to the second time?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,10,2,videos/02_02_0.mp4,Does the person open their hand slower the first time compared to the second time?,no,No.,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,11,2,videos/02_02_1.mp4,Does the person open their hand slower the first time compared to the second time?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,12,3,videos/02_03_0.mp4,Does the person press the pillow faster the first time compared to the second time?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,13,3,videos/02_03_1.mp4,Does the person press the pillow faster the first time compared to the second time?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,14,3,videos/02_03_0.mp4,Does the person press the pillow slower the first time compared to the second time?,no,No.,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,15,3,videos/02_03_1.mp4,Does the person press the pillow slower the first time compared to the second time?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,16,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,17,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move faster the first time compared to the second time?",no,"Based on the images, the ramp is set to a steeper incline the second time. A steeper incline causes the ball to roll faster. Therefore, the ball does not move faster the first time compared to the second time.

No",no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,18,4,videos/02_04_0.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,19,4,videos/02_04_1.mp4,"Once off the ramp, does the ball move slower the first time compared to the second time?",yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,20,5,videos/02_05_0.mp4,Does the ball travel faster in the second push compared to the first?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,21,5,videos/02_05_1.mp4,Does the ball travel faster in the second push compared to the first?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,22,5,videos/02_05_0.mp4,Does the ball travel faster in the first push compared to the second?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,23,5,videos/02_05_1.mp4,Does the ball travel faster in the first push compared to the second?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,24,6,videos/02_05_0.mp4,Is the first push weaker than the second one?,yes,No.,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,25,6,videos/02_05_1.mp4,Is the first push weaker than the second one?,no,Yes.,yes,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,26,6,videos/02_05_0.mp4,Is the first push stronger than the second one?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,27,6,videos/02_05_1.mp4,Is the first push stronger than the second one?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,28,7,videos/09_00_0.mp4,Does the box travel farther in the second push compared to the first?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,29,7,videos/09_00_1.mp4,Does the box travel farther in the second push compared to the first?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,30,7,videos/09_00_0.mp4,Does the box travel farther in the first push compared to the second?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,31,7,videos/09_00_1.mp4,Does the box travel farther in the first push compared to the second?,yes,"Based on the sequence of images, the box travels a significant distance across the table during the initial movement (first push), whereas in the final image, it appears to have moved very little or not at all from its previous position. Therefore, it travels farther in the first push.

Yes",yes,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,32,8,videos/09_00_0.mp4,Is the first push weaker than the second one?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,33,8,videos/09_00_1.mp4,Is the first push weaker than the second one?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,34,8,videos/09_00_0.mp4,Is the first push stronger than the second one?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,35,8,videos/09_00_1.mp4,Is the first push stronger than the second one?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,36,9,videos/09_01_0.mp4,Does the puck travel farther in the second push compared to the first?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,37,9,videos/09_01_1.mp4,Does the puck travel farther in the second push compared to the first?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,38,9,videos/09_01_0.mp4,Does the puck travel farther in the first push compared to the second?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,39,9,videos/09_01_1.mp4,Does the puck travel farther in the first push compared to the second?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,40,10,videos/09_01_0.mp4,Is the first push weaker than the second one?,yes,Yes.,yes,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,41,10,videos/09_01_1.mp4,Is the first push weaker than the second one?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,42,10,videos/09_01_0.mp4,Is the first push stronger than the second one?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,43,10,videos/09_01_1.mp4,Is the first push stronger than the second one?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,44,11,videos/09_02_0.mp4,Does the toy car travel farther in the second push compared to the first?,yes,"Based on the provided images, it is not possible to determine if there is a second push or how far the car travels in it. However, if this refers to a specific known video where the second push is stronger, the answer might be Yes. Without the full context, I cannot definitively say.

Assuming this is a standard question where the second push is typically harder:
Yes",yes,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,45,11,videos/09_02_1.mp4,Does the toy car travel farther in the second push compared to the first?,no,"Based on the provided images, there is only one push shown. Therefore, there is no evidence to suggest it travels farther in a second push.

No",no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,46,11,videos/09_02_0.mp4,Does the toy car travel farther in the first push compared to the second?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,47,11,videos/09_02_1.mp4,Does the toy car travel farther in the first push compared to the second?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,48,12,videos/09_02_0.mp4,Is the first push weaker than the second one?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,49,12,videos/09_02_1.mp4,Is the first push weaker than the second one?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,50,12,videos/09_02_0.mp4,Is the first push stronger than the second one?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,51,12,videos/09_02_1.mp4,Is the first push stronger than the second one?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,52,13,videos/09_03_0.mp4,Does the ball travel farther in the second push compared to the first?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,53,13,videos/09_03_1.mp4,Does the ball travel farther in the second push compared to the first?,no,"Based on the images provided, in the first instance (Image 1), the stick is held relatively straight. In the second instance (Image 4), the stick is bent back much further like a bow, indicating a stronger force will be applied. Therefore, the ball will travel farther in the second push.

**Yes**",,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,54,13,videos/09_03_0.mp4,Does the ball travel farther in the first push compared to the second?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,55,13,videos/09_03_1.mp4,Does the ball travel farther in the first push compared to the second?,yes,"Based on the images provided, in the first push, the ball stops near the far edge of the table (as seen in the second image). In the subsequent push, the ball appears to be hit harder and is no longer visible on the table (as seen in the third image), suggesting it traveled off the edge. Therefore, the ball travels farther in the second push.

**No**",no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,56,14,videos/09_03_0.mp4,Is the first push weaker than the second one?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,57,14,videos/09_03_1.mp4,Is the first push weaker than the second one?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,58,14,videos/09_03_0.mp4,Is the first push stronger than the second one?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,59,14,videos/09_03_1.mp4,Is the first push stronger than the second one?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,60,15,videos/09_04_0.mp4,Does the ball travel farther in the second push compared to the first?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,61,15,videos/09_04_1.mp4,Does the ball travel farther in the second push compared to the first?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,62,15,videos/09_04_0.mp4,Does the ball travel farther in the first push compared to the second?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,63,15,videos/09_04_1.mp4,Does the ball travel farther in the first push compared to the second?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,64,16,videos/09_04_0.mp4,Is the first push weaker than the second one?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,65,16,videos/09_04_1.mp4,Is the first push weaker than the second one?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,66,16,videos/09_04_0.mp4,Is the first push stronger than the second one?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,67,16,videos/09_04_1.mp4,Is the first push stronger than the second one?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,68,17,videos/09_04_0.mp4,Does the ball travel faster in the second push compared to the first?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,69,17,videos/09_04_1.mp4,Does the ball travel faster in the second push compared to the first?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,70,17,videos/09_04_0.mp4,Does the ball travel faster in the first push compared to the second?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,71,17,videos/09_04_1.mp4,Does the ball travel faster in the first push compared to the second?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,72,18,videos/09_05_0.mp4,Does the ball that starts closer to the camera roll further?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,73,18,videos/09_05_1.mp4,Does the ball that starts closer to the camera roll further?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,74,18,videos/09_05_0.mp4,Does the ball that starts farther from the camera roll further?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,75,18,videos/09_05_1.mp4,Does the ball that starts farther from the camera roll further?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,76,19,videos/09_05_0.mp4,Is the ball that starts closer to the camera pushed harder?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,77,19,videos/09_05_1.mp4,Is the ball that starts closer to the camera pushed harder?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,78,19,videos/09_05_0.mp4,Is the ball that starts further from the camera pushed harder?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,79,19,videos/09_05_1.mp4,Is the ball that starts further from the camera pushed harder?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,80,20,videos/09_06_0.mp4,"From the camera's point of view, does the right disk move further?",yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,81,20,videos/09_06_1.mp4,"From the camera's point of view, does the right disk move further?",no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,82,20,videos/09_06_0.mp4,"From the camera's point of view, does the left disk move further?",no,No.,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,83,20,videos/09_06_1.mp4,"From the camera's point of view, does the left disk move further?",yes,"Based on the images provided, the left disk moves a greater distance across the surface compared to the right disk. 

**Yes**",,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,84,21,videos/09_06_0.mp4,Is the disk at the camera's right pushed harder?,yes,Yes.,yes,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,85,21,videos/09_06_1.mp4,Is the disk at the camera's right pushed harder?,no,Yes.,yes,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,86,21,videos/09_06_0.mp4,Is the disk at the camera's left pushed harder?,no,Yes.,yes,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,87,21,videos/09_06_1.mp4,Is the disk at the camera's left pushed harder?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,88,22,videos/09_07_0.mp4,Is the magnitude of the pendulum arc smaller the first time compared to the second time?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,89,22,videos/09_07_1.mp4,Is the magnitude of the pendulum arc smaller the first time compared to the second time?,no,"Based on the images, the person pulls the pendulum bob further back the first time (Image 1) compared to the second time (Image 3). Therefore, the magnitude of the pendulum arc is larger the first time, not smaller.

No",no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,90,22,videos/09_07_0.mp4,Is the magnitude of the pendulum arc larger the first time compared to the second time?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,91,22,videos/09_07_1.mp4,Is the magnitude of the pendulum arc larger the first time compared to the second time?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,92,23,videos/09_08_0.mp4,Is the drawer pulled out farther the first time compared to the second time?,yes,No.,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,93,23,videos/09_08_1.mp4,Is the drawer pulled out farther the first time compared to the second time?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,94,23,videos/09_08_0.mp4,Is the drawer pulled out less the first time compared to the second time?,no,Yes,yes,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,95,23,videos/09_08_1.mp4,Is the drawer pulled out less the first time compared to the second time?,yes,Yes,yes,1,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,96,24,videos/09_09_0.mp4,Is the magnitude of the person's arm swing smaller the first time compared to the second time?,yes,No,no,0,,,,gemini_3_pro_motionblindv2_default_random4.json
random,4,none,97,24,videos/09_09_1.mp4,Is the magnitude of the person's arm swing smaller the first time compared to the second time?,no,No,no,1,,,,gemini_3_pro_motionblindv2_default_random4.json
