strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file,duration,task_type
uniform,16,none,0,,videos/fFjv93ACGo8.mp4,"When demonstrating the Germany modern Christmas tree is initially decorated with apples, candles and berries, which kind of the decoration has the largest number?",c,A,a,0,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Counting Problem
uniform,16,none,1,,videos/fFjv93ACGo8.mp4,What is the genre of this video?,a,A,a,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Information Synopsis
uniform,16,none,2,,videos/fFjv93ACGo8.mp4,How many red socks are above the fireplace at the end of this video?,d,D,d,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Counting Problem
uniform,16,none,3,,videos/N1cdUjctpG8.mp4,Which of the following features/items is not discussed in the video in relation to the tomb?,c,C,c,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Object Recognition
uniform,16,none,4,,videos/N1cdUjctpG8.mp4,Which of the following reasons motivated the archaeologists to excavate the tomb?,d,A,a,0,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Action Reasoning
uniform,16,none,5,,videos/N1cdUjctpG8.mp4,How many porcelain jars were discovered in the niches located in the primary chamber of the tomb?,b,B,b,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Counting Problem
uniform,16,none,6,,videos/HIjX8OPuf-w.mp4,How many national flags appear in the video?,b,A,a,0,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Counting Problem
uniform,16,none,7,,videos/HIjX8OPuf-w.mp4,What is the video telling when the burger placed in the upper right corner at the end of the video first appears?,c,A,a,0,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Object Recognition
uniform,16,none,8,,videos/HIjX8OPuf-w.mp4,In which country is the food featured in the video recognized worldwide?,d,D,d,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Object Reasoning
uniform,16,none,9,,videos/HwnB8aCn8yE.mp4,"According to the video, which of the following is considered the earliest stage of human evolution?",b,B,b,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Temporal Perception
uniform,16,none,10,,videos/HwnB8aCn8yE.mp4,"According to the video, in which state did human's ancestors first begin to walk on two legs?",b,A,a,0,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Object Recognition
uniform,16,none,11,,videos/HwnB8aCn8yE.mp4,"Given the information provided by the video, during which stage of human evolution did the regression of body hair occur rapidly?",d,B,b,0,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Object Recognition
uniform,16,none,12,,videos/24i4ncHuf6A.mp4,"According to the video, how many individuals were in the car when Archduke Franz Ferdinand was assassinated?",a,B,b,0,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Counting Problem
uniform,16,none,13,,videos/24i4ncHuf6A.mp4,What's the trigger that set off the war mentioned in the video?,b,B,b,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Action Reasoning
uniform,16,none,14,,videos/24i4ncHuf6A.mp4,Which of the following options is incorrect regarding the events in Sarajevo depicted in the video?,c,C,c,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Attribute Perception
uniform,16,none,15,,videos/40BlVzjxu-I.mp4,What is one of the symbols of the festival that is introduced by the video?,d,D,d,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Object Reasoning
uniform,16,none,16,,videos/40BlVzjxu-I.mp4,What happened when Irish imiggrants brought the tradition of St. Patrick's Day to America?,a,A,a,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Temporal Reasoning
uniform,16,none,17,,videos/40BlVzjxu-I.mp4,What is special about the celebration in New York according to the video?,a,B,b,0,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Action Recognition
uniform,16,none,18,,videos/0ay2Qy3wBe8.mp4,How is the smoke generated by the man depicted in the video?,d,D,d,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Action Recognition
uniform,16,none,19,,videos/0ay2Qy3wBe8.mp4,What kind of communication is listed before Semaphore?,d,C,c,0,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Temporal Reasoning
uniform,16,none,20,,videos/0ay2Qy3wBe8.mp4,What is the specific sentence in the smart phone that makes the man embarrassed?,a,A,a,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,OCR Problems
uniform,16,none,21,,videos/_tvmjsKXTu8.mp4,"In the video, what color pen did the author use when he wrote ""guitar"" for the second time?",d,A,a,0,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Attribute Perception
uniform,16,none,22,,videos/_tvmjsKXTu8.mp4,How many different guitar-shaped instruments are there in the video?,b,C,c,0,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Counting Problem
uniform,16,none,23,,videos/_tvmjsKXTu8.mp4,What does the second half of the video show?,a,C,c,0,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Information Synopsis
uniform,16,none,24,,videos/sUDY-SMREtA.mp4,Which color of clothes is QuYuan wearing in the video?,a,A,a,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Attribute Perception
uniform,16,none,25,,videos/sUDY-SMREtA.mp4,"Based on the video, which day does the festival fall on the lunar calendar?",b,B,b,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Attribute Perception
uniform,16,none,26,,videos/sUDY-SMREtA.mp4,"According to the video, which of the following is the main reason why people commemorate Qu Yuan?",c,B,b,0,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Action Reasoning
uniform,16,none,27,,videos/PSt_op3fQck.mp4,What can be learned from this video?,c,B,b,0,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Information Synopsis
uniform,16,none,28,,videos/PSt_op3fQck.mp4,What is the pattern on the clothing of the staff who is behaving informally at the airline counter?,a,B,b,0,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Object Recognition
uniform,16,none,29,,videos/PSt_op3fQck.mp4,"At the end of the animation, which place does not the copilot travel to?",b,C,c,0,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Object Recognition
uniform,16,none,30,,videos/OE5S-NbNsro.mp4,What is the kind of the dance in the video?,c,C,c,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Action Reasoning
uniform,16,none,31,,videos/OE5S-NbNsro.mp4,What's the color of the cosmos introduced by the video?,b,A,a,0,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Attribute Perception
uniform,16,none,32,,videos/OE5S-NbNsro.mp4,What are the moves in the last scene of this dance?,a,D,d,0,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Action Recognition
uniform,16,none,33,,videos/qvwfWyU9Gfc.mp4,"Based on the video, which of the following describes the reason why the student ate the banana?",b,B,b,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Action Reasoning
uniform,16,none,34,,videos/qvwfWyU9Gfc.mp4,What did the student do after eating the banana in the video?,c,C,c,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Temporal Reasoning
uniform,16,none,35,,videos/qvwfWyU9Gfc.mp4,What's the color of the tape in the video?,d,D,d,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Attribute Perception
uniform,16,none,36,,videos/5wLv3pCqZ9o.mp4,Which of the following is visible in the background of the video when the miniature bottle is shown empty?,c,C,c,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Spatial Perception
uniform,16,none,37,,videos/5wLv3pCqZ9o.mp4,"According to the video, which of the following ingredients is not used in the artwork?",a,D,d,0,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Action Reasoning
uniform,16,none,38,,videos/5wLv3pCqZ9o.mp4,What was the next step taken by the operator after filling the bottle with oil?,a,B,b,0,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Action Recognition
uniform,16,none,39,,videos/uqILuTcux_o.mp4,"Which of the following can be identified as Susan White-Oakes' most recent art piece, based on the video?",d,D,d,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Object Recognition
uniform,16,none,40,,videos/uqILuTcux_o.mp4,"Based on the video, what is Susan White-Oakes' latest art work made of?",d,D,d,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Attribute Perception
uniform,16,none,41,,videos/uqILuTcux_o.mp4,What does Susan White-Oakes often do before polishing the whole body?,c,B,b,0,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Temporal Reasoning
uniform,16,none,42,,videos/eXKE0nAMmg4.mp4,Which elements are depicted in the painting introduced by the video?,a,A,a,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Attribute Perception
uniform,16,none,43,,videos/eXKE0nAMmg4.mp4,"Based on the video, what happened when the painting was sold?",d,D,d,1,,,,eagle2_5_8b_videomme_default_uniform16.json,short,Action Recognition
