strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
uniform,32,none,0,0,videos/02_00_0.mp4,Does the person stir faster the first time compared to the second time?,yes,No,no,0,0 12 24 37 49 61 73 86 98 110 122 134 147 159 171 183 196 208 220 232 245 257 269 281 293 306 318 330 342 355 367 379,,,inkling_small_mbhuman_uniform32.json
uniform,32,none,1,0,videos/02_00_1.mp4,Does the person stir faster the first time compared to the second time?,no,No,no,1,0 12 24 37 49 61 73 86 98 110 122 134 147 159 171 183 196 208 220 232 245 257 269 281 293 306 318 330 342 355 367 379,,,inkling_small_mbhuman_uniform32.json
uniform,32,none,2,0,videos/02_00_0.mp4,Does the person stir slower the first time compared to the second time?,no,Yes,yes,0,0 12 24 37 49 61 73 86 98 110 122 134 147 159 171 183 196 208 220 232 245 257 269 281 293 306 318 330 342 355 367 379,,,inkling_small_mbhuman_uniform32.json
uniform,32,none,3,0,videos/02_00_1.mp4,Does the person stir slower the first time compared to the second time?,yes,No,no,0,0 12 24 37 49 61 73 86 98 110 122 134 147 159 171 183 196 208 220 232 245 257 269 281 293 306 318 330 342 355 367 379,,,inkling_small_mbhuman_uniform32.json
uniform,32,none,4,1,videos/02_01_0.mp4,Does the drawer close faster the first time compared to the second time?,yes,Yes,yes,1,0 6 12 18 24 30 36 42 48 54 60 66 72 78 84 90 97 103 109 115 121 127 133 139 145 151 157 163 169 175 181 187,,,inkling_small_mbhuman_uniform32.json
uniform,32,none,5,1,videos/02_01_1.mp4,Does the drawer close faster the first time compared to the second time?,no,Yes,yes,0,0 6 12 18 24 30 36 42 48 54 60 66 72 78 84 90 97 103 109 115 121 127 133 139 145 151 157 163 169 175 181 187,,,inkling_small_mbhuman_uniform32.json
uniform,32,none,6,1,videos/02_01_0.mp4,Does the drawer close slower the first time compared to the second time?,no,No,no,1,0 6 12 18 24 30 36 42 48 54 60 66 72 78 84 90 97 103 109 115 121 127 133 139 145 151 157 163 169 175 181 187,,,inkling_small_mbhuman_uniform32.json
uniform,32,none,7,1,videos/02_01_1.mp4,Does the drawer close slower the first time compared to the second time?,yes,No,no,0,0 6 12 18 24 30 36 42 48 54 60 66 72 78 84 90 97 103 109 115 121 127 133 139 145 151 157 163 169 175 181 187,,,inkling_small_mbhuman_uniform32.json
uniform,32,none,8,2,videos/02_02_0.mp4,Does the person open their hand faster the first time compared to the second time?,yes,No,no,0,0 4 8 11 15 19 23 26 30 34 38 42 45 49 53 57 60 64 68 72 75 79 83 87 91 94 98 102 106 109 113 117,,,inkling_small_mbhuman_uniform32.json
uniform,32,none,9,2,videos/02_02_1.mp4,Does the person open their hand faster the first time compared to the second time?,no,No,no,1,0 4 8 11 15 19 23 26 30 34 38 42 45 49 53 57 60 64 68 72 75 79 83 87 91 94 98 102 106 109 113 117,,,inkling_small_mbhuman_uniform32.json
