strategy,nframes,ablation,index,instance_id,video_path,question,gold,model_output,extracted,correct,frame_indices,f2c_scales,error,pred_file
hornet,4,none,0,0,TimeBlind/videos/vid_00000_0.mp4,Does the boy start eating shortly after the girl puts her cup down?,yes,No,no,0,,,,gemma4it_tb_hornet4.json
hornet,4,none,1,0,TimeBlind/videos/vid_00000_1.mp4,Does the boy start eating shortly after the girl puts her cup down?,no,No,no,1,,,,gemma4it_tb_hornet4.json
hornet,4,none,2,0,TimeBlind/videos/vid_00000_0.mp4,Does the boy start eating at the same time the girl sets her cup down?,no,No,no,1,,,,gemma4it_tb_hornet4.json
hornet,4,none,3,0,TimeBlind/videos/vid_00000_1.mp4,Does the boy start eating at the same time the girl sets her cup down?,yes,No,no,0,,,,gemma4it_tb_hornet4.json
hornet,4,none,4,1,TimeBlind/videos/vid_00001_0.mp4,Is the person's second racket swing faster than the first?,yes,No,no,0,,,,gemma4it_tb_hornet4.json
hornet,4,none,5,1,TimeBlind/videos/vid_00001_1.mp4,Is the person's second racket swing faster than the first?,no,No,no,1,,,,gemma4it_tb_hornet4.json
hornet,4,none,6,1,TimeBlind/videos/vid_00001_0.mp4,Does the person swing the badminton racket faster the first time than the second?,no,No,no,1,,,,gemma4it_tb_hornet4.json
hornet,4,none,7,1,TimeBlind/videos/vid_00001_1.mp4,Does the person swing the badminton racket faster the first time than the second?,yes,No,no,0,,,,gemma4it_tb_hornet4.json
hornet,4,none,8,2,TimeBlind/videos/vid_00002_0.mp4,Does the man hit the shuttlecock without moving his feet?,yes,No,no,0,,,,gemma4it_tb_hornet4.json
hornet,4,none,9,2,TimeBlind/videos/vid_00002_1.mp4,Does the man hit the shuttlecock without moving his feet?,no,No,no,1,,,,gemma4it_tb_hornet4.json
hornet,4,none,10,2,TimeBlind/videos/vid_00002_0.mp4,Is the man moving his feet when he hits the shuttlecock?,no,No,no,1,,,,gemma4it_tb_hornet4.json
hornet,4,none,11,2,TimeBlind/videos/vid_00002_1.mp4,Is the man moving his feet when he hits the shuttlecock?,yes,No,no,0,,,,gemma4it_tb_hornet4.json
hornet,4,none,12,3,TimeBlind/videos/vid_00003_0.mp4,Does the left side of the cigarette gradually change color from white to yellow?,yes,Yes,yes,1,,,,gemma4it_tb_hornet4.json
hornet,4,none,13,3,TimeBlind/videos/vid_00003_1.mp4,Does the left side of the cigarette gradually change color from white to yellow?,no,No,no,1,,,,gemma4it_tb_hornet4.json
hornet,4,none,14,3,TimeBlind/videos/vid_00003_0.mp4,Does the left side of the cigarette gradually change color from yellow to white?,no,No,no,1,,,,gemma4it_tb_hornet4.json
